Nome;Endereço;Telefone;Horário de Atedimento ;Lat ;Log 
AC Barra de São Miguel  - Agência Correio;Praça Mirley Cavalcanti Nome, 15  - Centro Nome,Barra de São Miguel - AL CEP: 57180-970;(82) 3272-1848;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.843276;-35.902685
AC Batalha  - Agência Correio;Rua Padre  Daniel BezerraNome, 39  - Centro Nome,Batalha - AL CEP: 57420-970;(82) 3531-1222;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.676263;-37.124061
AC Belém - Agência Correio;Rua do Comércio  Nome, 123  - Centro Nome,Belém - AL CEP: 57630-970;(82) 3525-1122;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.571118;-36.493099
AC Boca da Mata - Agência Correio;Rua Vereador Artedorio Pinto Damâso  Nome, s/n- Centro Nome,Boca da Mata - AL CEP: 57680-970;(82) 3279-1352;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.641988;-36.215308
AC Olho D'Água das Flores - Agência Correios ;Rua do Comércio  Nome, 191  - Centro Nome,Olho D'Água das Flores - AL CEP: 57442-970;(82) 3623-1202;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.535306;-37.29444
AC São José da Tapera - Agência Correio;Rua de Dezembro Nome, 65  - Centro Nome,São José da Tapera - AL CEP: 57445-970;(82) 3622-1120;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.557822;-37.381197
AC Santana do Ipanema - Agência Correio;Avenida Doutor  Arsênio Moreira Nome, 358  - Centro Nome,Santana do Ipanema - AL CEP: 57500-970;(82) 3621-1510 / (82) 3621-1025;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.371708;-37.240978
AC Jacaré dos Homens - Agência Correio;Rua Mosenhor Freitas MachadoNome, s/n - Centro Nome,Jacaré dos Homens - AL CEP: 57430-970;(82) 3534-1120;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.635849;-37.205034
AC Belo Monte - Agência Correio;Rua Conêgo Jasson Souto  Nome, 36  - Centro Nome,Belo Monte - AL CEP: 57435-970;(82) 3532-0107;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.828544;-37.279492
AC União dos Palmares - Agência Correio;Avenida Monsenhor Clóvis Duarte de Barro Nome, 2  - Centro Nome,União dos Palmares - AL CEP: 57800-970;(82) 3281-1440 ;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.160838;-36.03235
AC Satuba - Agência Correio;Rua Santos Dumont Nome, 98 A  - Centro Nome,Satuba - AL CEP: 57120-970;(82) 3266-1195;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.571918;-35.826157
AC São Sebastião - Agência Correio;Rua Valdevino da Silva Nome, 39  - Centro Nome,São Sebastião - AL CEP: 57275-970;(82) 3542-1220;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.931861;-36.553364
AC São Miguel dos Campos - Agência Correio;Praça Padre Júlio de AlbuquerqueNome, 16  - Centro Nome,São Miguel dos Campos - AL CEP: 57240-970;(82) 3271-1501 - FAX: (82) 3271-1780;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: - ";-9.780934;-36.093488
AC Campo Alegre - Agência Correio;Rua Senador Máximo Nome, 126  - Centro Nome,Campo Alegre - AL CEP: 57250-970;(82) 3275-1125;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.784911;-36.353106
AC Penedo - Agência Correio;Avenida Floriano Peixoto Nome, s/n - Centro Nome,Penedo - AL CEP: 57200-970;(82) 3551-2332;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: -";-10.291019;-36.585322
AC Piaçabuçu - Agência Correio;Praça CentenarioNome, s/n - Centro Nome,Piaçabuçu - AL CEP: 57210-970;(82) 3552-1209;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-10.406793;-36.433875
AC Passo do Camaragibe - Agência Correio;Rua Fernandes LimaNome, 64  - Centro Nome,Passo do Camaragibe - AL CEP: 57930-970;(82) 3258-1116;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00  ";-9.242122;-35.489291
AC São Miguel dos Milagres - Agência Correio;Rua Vereador Lamenha Couto Nome, 119 - Centro Nome,São Miguel dos Milagres - AL CEP: 57940-970;(82) 3295-1139;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.267964;-35.374127
AC Rio Largo - Agência Correio;Rua Euclides Afonso de MeloNome, 14 - Centro Nome,Rio Largo - AL CEP: 57100-970;(82) 3261-1473;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.487166;-35.8537
AC Aeroporto internacional Zumbi dos Pamares - Agência Correio;Aeroporto internacional Zumbi dos Pamares Nome, s/n - Tabuleiro do Pinto Nome,Rio Largo - AL CEP: 57100-971;(82) 3322-1850;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: - ";-9.514999;-35.792616
AC Japaratinga - Agência Correio;Praça NossaSenhora das CandeiasNome, 172  - Centro Nome,Japaratinga - AL CEP: 57950-970;(82) 3297-1143 ;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.087885;-35.258433
AC Murici - Agência Correio;Avenida Presidente Vargas Nome, 23  - Centro Nome,Murici - AL CEP: 57820-970;(82) 3286-1228;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00";-9.316444;-35.943149
AC Branquinha- Agência Correio;Rua Doutor Prado Omena  Nome, 280 - Quadra  Setor  2 - Centro Nome,Branquinha- AL CEP: 57830-970;(82) 3280-1359;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.24747;-36.016227
AC São José da Laje - Agência Correio;Avenida Valdemar Pontes Nome, s/n - Centro Nome,São José da Laje - AL CEP: 57860-970;(82) 3285-1188;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.007016;-36.055071
AC Ibateguara - Agência Correio;Rua do ComércioNome, 92  - Centro Nome,Ibateguara - AL CEP: 57890-970;(82) 3203-1156;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-8.972187;-35.927327
AC Matriz do Camaragibe - Agência Correio;Rua Capitão  José de Barros Pimentel Nome, 137  - Centro Nome,Matriz do Camaragibe - AL CEP: 57910-970;(82) 3251-1225;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.15522;-35.534656
AC Porto Calvo - Agência Correio;Rua Doutor Antônio Dorta Nome, 16  - Centro Nome,Porto Calvo - AL CEP: 57900-970;(82) 3292-1187;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.056066;-35.398531
AC Jacuípe - Agência Correio;Rua Miguel MoratoNome, 447  - Centro Nome,Jacuípe - AL CEP: 57960-970;(82) 3257-5184;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00";-8.840767;-35.457404
AC Campestre - Agência Correio;Rua Epitácio PessoaNome, s/n  - Centro Nome,Campestre - AL CEP: 57968-970;(82) 3257-3238;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00  ";-8.849771;-35.56592
AC Novo Lino- Agência Correio;Rua do ComércioNome, 288  - Centro Nome,Novo Lino- AL CEP: 57970-970;(82) 3253-1143;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-8.941851;-35.665444
AC Joaquim Gomes - Agência Correio;Rua José Correia de Araújo Nome, 13  - Centro Nome,Joaquim Gomes - AL CEP: 57980-970;(82) 3252-1144  - FAX: (82) 3252-1144;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: - ";-9.133343;-35.747687
AC Porto de Pedras- Agência Correio;Rua Doutor Sebatião da HoraNome, 281  - Centro Nome,Porto de Pedras- AL CEP: 57945-970;(82) 3298-1153;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.15975;-35.296639
AC Messias  - Agência Correio;Rua Rosalvo Calheiros de MeloNome, 141  - Centro Nome,Messias  - AL CEP: 57990-970;(82) 3262-1145;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.394319;-35.839626
AC Maribondo - Agência Correio;Rua do ComércioNome, 474  - Centro Nome,Maribondo - AL CEP: 57670-970;(82) 3270-1155;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.57887;-36.306626
AC Pindoba - Agência Correio;Rua do ComércioNome, 33  - Centro Nome,Pindoba - AL CEP: 57720-970;(82) 3280-5042;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.475021;-36.288388
AC Capela - Agência Correio;Rua Doutor Horácío Gomes de Melo Nome, 613  - Centro Nome,Capela - AL CEP: 57780-970;(82) 3287-1267;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.41306;-36.076082
AC Cajueiro  - Agência Correio;Rua Luís Texeira CostaNome, 181  - Centro Nome,Cajueiro  - AL CEP: 57770-970;(82) 3284-1278;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.398142;-36.150591
AC Viçosa - Agência Correio;Avenida Firmino Maia Nome, 50  - Centro Nome,Viçosa - AL CEP: 57700-970;(82) 3283-1351;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.371949;-36.245924
AC Santana do Mundaú  - Agência Correio;Rua Silbestre PericlesNome, s/n - Centro Nome,Santana do Mundaú - AL CEP: 57840-970;(82) 3289-1265;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-10.127118;-36.176905
AC Jundía  - Agência Correio;Rua Nossa Senhora da Conceição Nome, 37  - Centro Nome,Jundiá  - AL CEP: 57965-970;(82) 3257-1009 / (82) 9914-8195  - FAX: (82) 3257-1009;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-8.941417;-35.553685
AC Pilar - Agência Correio;Rua Luiz Ramos  Nome, 131  - Centro Nome,Pilar - AL CEP: 57150-970;(82) 3265-1279;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00";-9.607979;-35.954502
AC Marechal Deodoro - Agência Correio;Rua Doutor Ladislau Neto Nome, s/n - Centro Nome,Marechal Deodoro - AL CEP: 57160-970;(82) 3263-1321;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.717057;-35.894165
AC Roteiro - Agência Correio;Rua João Pedro Nome, s/n- Centro Nome,Roteiro - AL CEP: 57246-970;(82) 3276-1115;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.833497;-35.978552
AC Jequía da Praia - Agência Correio;Travessa Boa Vista  Nome, 423  - Centro Nome,Jequía da Praia - AL CEP: 57244-970;(82) 3276-5186;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-10.011504;-36.023605
AC Coruripe - Agência Correio;Rua Lindofo SimõesNome, 17  - Centro Nome,Coruripe - AL CEP: 57230-970;(82) 3273-1097;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-10.127118;-36.176905
AC Teotônio Vilela - Agência Correio;Rua Jacinto Gerômino Nome, 109  - Centro Nome,Teotônio Vilela - AL CEP: 57265-970;(82) 3543-1260;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.90882;-36.349421
AC Palmeira dos Índios   - Agência Correio;Rua Duque de Caxias Nome, 181  - Centro Nome,Palmeira dos Índios - AL CEP: 57600-970;(82) 3421-3917 - FAX: (82) 3421-2511;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: - ";-9.408107;-36.628853
AC Quebrangulo - Agência Correio;Praça Major Cicero de Góes Monteiro Nome, 152 - Centro Nome,Quebrangulo  - AL CEP: 57750-970;(82) 3288-1180;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.321367;-36.473723
AC Mar Vermelho  Agência Correio;Rua  Coronel Alvaro Almeida Nome, 60  - Centro Nome,Mar Vermelho - AL CEP: 57730-970;(82) 3204-5109;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.446864;-36.388868
AC Igaci - Agência Correio;Praça Antônio Toledo  Nome, 166  - Centro Nome, Igaci - AL CEP: 57620-970;(82) 3423-1159;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.533493;-36.6298
AC Craíbas - Agência Correio;Rua Pedro GamaNome, 14  - Centro Nome,Craíbas - AL CEP: 57320-970;(82) 3527-1121;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.618514;-36.768801
AC Campo Grande - Agência Correio;Avenida Liberdade  Nome, 13  - Centro Nome,Campo Grande - AL CEP: 57350-970;(82) 3537-1176;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.956114;-36.791709
AC Feira Grande - Agência Correio;Rua do Comércio Nome, 57  - Centro Nome,Feira Grande- AL CEP: 57340-970;(82) 3524-1126;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.901186;-36.676551
AC Junqueiro - Agência Correio;Praça Padre Aurélio Goés Nome, 32  - Centro Nome,Junqueiro - AL CEP: 57270-970;(82) 3541-1325;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.9315;-36.4737
AC Igreja Nova - Agência Correio;Praça Sergio Costa  Nome, 45  - Centro Nome,Igreja Nova - AL CEP: 57280-970;(82) 3554-1182;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-10.127469;-36.656506
AC Girau do Ponciano - Agência Correio;Avenida Tirandentes Nome, 499  - Progresso  Nome,Girau do Ponciano  - AL CEP: 57360-970;(82) 3520-1355 - FAX: (82) 3520-1355;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.883538;-36.823689
AC Major Isidoro- Agência Correio;Rua Sargentes  Benevides Nome, 189  - Centro Nome,Major Isidoro- AL CEP: 57580-970;(82) 3424-1149;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.532662;-36.985126
AC Taquarana - Agência Correio;Praça Manoel Rodrigues Nome, 72  - Centro Nome,Taquarana- AL CEP: 57640-970;(82) 3425-1157;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.64576;-36.493179
AC Cacimbinhas - Agência Correio;Praça Dezenove de SetembroNome, 135  - Centro Nome,Cacimbinhas- AL CEP: 57570-970;(82) 3422-1112;Segunda a sexta: Das 08:00 às 16:00 Horário de almoço: Das 12:00 às 14:00 ;-9.399517;-36.99083
AC Dois Riachos - Agência Correio;Rua Miguel Vieira NovaesNome, 38  - Centro Nome,Dois Riachos - AL CEP: 57560-970;(82) 3620-1115;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.385716;-37.08947
AC Tanque D'Arca - Agência Correio;Rua da Paz Nome, 1  - Centro Nome,Tanque D'Arca- AL CEP: 57635-970;(82) 3278-1123;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.53483;-36.433522
AC Pão de Áçúcar - Agência Correio;Avenida Maestro M. Bezerra Lima Nome, 763  - Centro Nome,Pão de Áçúcar - AL CEP: 57400-970;(82) 3624-1196;Segunda a sexta: Das 08:00 às 16:00 Horário de almoço: Das 12:00 às 14:00 ;-9.749486;-37.432342
AC Piranhas  - Agência Correio;Praça Tenente Vasco  Nome, 80  - Centro Nome,Piranhas  - AL CEP: 57460-970;(82) 3686-1145;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.611884;-37.761469
AC Olho D'Água do Casado Agência Correio;Rua do ComércioNome, 255  - Centro Nome,Olho D'Água do Casado - AL CEP: 57470-970;(82) 3643-1126;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.502574;-37.831616
AC Delmiro Gouveia- Agência Correio;Rua José Bonifácio Nome, 33  - Centro Nome,Delmiro Gouveia- AL CEP: 57480-970;(82) 3641-1297 ;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.385845;-37.998713
AC Pariconha- Agência Correio;Praça Sagardo Coração de JesusNome, 07  Terreo - Centro Nome,Pariconha- AL CEP: 57475-970;(82) 3647-1163 ;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.253032;-38.005223
AC Mata Grande- Agência Correio;Rua Siqueira campos Nome, s/n - Centro Nome,Mata Grande- AL CEP: 57540-970;(82) 3642-1145;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.118317;-37.728073
AC Canapi - Agência Correio;Rua Sônia MaltaNome, 88  - Centro Nome,Canapi - AL CEP: 57530-970;(82) 3646-1150;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.117208;-37.604488
AC Inhapi - Agência Correio;Praça da MatrizNome, 350  - Centro Nome,Inhapi - AL CEP: 57545-970;(82) 3645-1149 ;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.221779;-37.749659
AC Ouro Branco- Agência Correio;Rua Sebstião Vieira da Rocha Nome, 356  - Centro Nome,Ouro Branco - AL CEP: 57525-970;(82) 3629-1105;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.162279;-37.359167
AC Maravilha - Agência Correio;Praça Pedro Fernando Brandão AlcantaraNome, 65  - Centro Nome,Maravilha - AL CEP: 57520-970;(82) 3625-1148;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.231559;-37.349603
AC Senador Rui Palmeira- Agência Correio;Rua do ComércioNome, 126  - Centro Nome,Senador Rui Palmeira- AL CEP: 57515-970;(82) 3634-1170;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.4667;-37.457048
AC Traipu - Agência Correio;Rua Senador SerapiãoNome, s/n - Centro Nome,Traipu - AL CEP: 57370-970;(82) 3536-1103;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.971501;-37.001953
AC Porto Real do Colégio - Agência Correio;Avenida  Engenheiro Gordilho de CastroNome, 236  - Centro Nome,Porto Real do Colégio - AL CEP: 57290-970;(82) 3553-1145;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-10.185601;-36.836947
AC São Brás - Agência Correio;Rua São José  Nome, 2  - Centro Nome,São Brás - AL CEP: 57380-970;(82) 3555-1151;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-10.126006;-36.898283
AC Santa Luzia do Norte - Agência Correio;Rua Antônio Martins Ribeiro Nome, 104  - Centro Nome,Santa Luzia do Norte  - AL CEP: 57130-970;(82) 3268-1103;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.603637;-35.822535
AC Coqueiro Seco - Agência Correio;Rua João Navarro Nome, 749  - Centro Nome,Coqueiro Seco - AL CEP: 57140-970;(82) 3267-1122;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.635355;-35.791417
AC Feliz Deserto - Agência Correio;Praça Domingos Mendes Nome, 65  - Centro Nome,Feliz Deserto - AL CEP: 57220-970;(82) 3556-1126;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00";-10.29192;-36.307218
AC Minador do Negrão - Agência Correio;Praça  Tereza Araújo BarrosNome, 155  - Centro Nome,Minador do Negrão - AL CEP: 57615-970;(82) 3427-1164;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.307875;-36.866838
AC Lagoa da Canoa  - Agência Correio;Avenida Antônio Albuquerque Nome, 16  - Centro Nome,Lagoa da Canoa  - AL CEP: 57330-970;(82) 3528-1166;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00";-9.828595;-36.734858
AC Central Maceió - Agência Correio;Rua do SolNome, 57  - Centro Nome,Maceió - AL  CEP: 57020-970;(82) 3216-7084 / (82) 3216-7099 / (82) 3216-7079 / (82) 3216-7082 -  FAX: (82) 3216-7100;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: - ";-9.664796;-35.736176
AC Cidade Universitária  - Agência Correio;Avenida Lourival Melo Mota Nome, 14  - Cidade Universitaria Nome,Maceió - AL  CEP: 57072-970;(82) 3322-3133;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: - ";-9.55518;-35.777902
ACC Fernandes Lima - - Agência Correio;Avenida Fernandes Lima Nome, 2457  - Farol Nome,Maceió - AL  CEP: 57057-972;(82) 3317-4273;"Segunda a sexta: Das 08:00 às 17:30 	Horário de almoço: - Sábado: Das 08:00 às 11:30	";-9.62886;-35.737885
AC Jaraguá Mirim - Agência Correio;Rua Sá e Albuquerque Nome, 408  - JaraguáNome,Maceió - AL  CEP: 57022-970;(82) 3221-4137;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: -";-9.671936;-35.723094
AC Limoeiro de Anadia  - Agência Correio;Rua Siqueira Campos Nome, 5  - Centro Nome,Limoeiro de Anadia  - ALCEP: 57260-970;(82) 3523-1127;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.738137;-36.501544
AGF João Davino - Agência Correio;Avenida João DavinoNome, 321 - Loja 102 - Jatiúca Nome,Maceió - AL  CEP: 57037-970;(82) 3235-1645 - FAX: (82) 3235-1645;"Segunda a sexta: Das 08:00 às 18:00 	Horário de almoço: - Sábado: Das 08:00 às 12:00	";-9.643286;-35.702205
AGF Mangabeiras - Agência Correio;Avenida Comendador Gustavo PaivaNome, 321 - Loja 102 - Jatiúca Nome,Maceió - AL  CEP: 57031-970;(82) 3327-2226;"Segunda a sexta: Das 08:00 às 17:00	 Horário de almoço: - Sábado: Das 08:00 às 12:00";-9.653396;-35.720717
ACC Pajuçara - Agência Correio;Rua Jangadeiros Alagoanos Nome, 1162 - Sala 2 - Pajuçara Nome,Maceió - AL  CEP: 57030-970;(82) 3327-0876;"Segunda a sexta: Das 08:00 às 18:00	 Horário de almoço: - Sábado: Das 08:00 às 12:00	";-9.665426;-35.712163
AC Ponta Grossa - Agência Correio;Rua Santo Antônio Nome, 287  - Ponta Grossa Nome,Maceió - AL  CEP: 57011-970;(82) 3216-7103 / (82) 3326-2395;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.661511;-35.749137
ACC Serraria - Agência Correio;Avenida Presidente Getúlio VargasNome, 911  - Serraria Nome,Maceió - AL  CEP: 57046-140;(82) 3025-0784;"Segunda a sexta: Das 08:00 às 18:00	 Horário de almoço: - ";-9.607877;-9.607877
AC Tabulero dos Martins  - Agência Correio;Avenida Doutor Durval de Góes Monteiro Nome, 2217  - Tabuleiro dos MartinsNome,Maceió - AL  CEP: 57061-970;(82) 3324-2085 ;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: - ";-9.586654;-35.763426
AC Jaramataia - Agência Correio;Rua do Comércio  Nome, 173  - Centro Nome,Jaramataia  - AL CEP: 57425-970;(82) 3533-1117;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.659074;-37.000623
AC Palestina- Agência Correio;Praça  José Thomas Nono Neto Nome, 16  - Centro Nome,Palestina- AL CEP: 57410-970;(82) 3631-1122;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.672237;-37.329671
